Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
700-8660550 DRIVE SHAFT COMPLETE 14381/T52806/1C,TENCO INC                     ,"$1,000.00",2012-12-18,173390,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
37047 LT195/75R14 YOKO Y370 LRD 19785/T53587/04/KC,YUKON TIRE CENTRE INC         ,$123.00,2012-12-05,173391,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"200045750 COUPLERS, 1/2 QUICK 15051/T16265/12 MP MAYO",AJAX STEEL LIMITED            ,$32.00,2012-12-05,173399,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
41550 PINION BAFFLE 14382/T52806/1C,THE GEAR CENTRE               ,$3.00,2012-12-12,173403,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
192X50501R 15X6 4ON100MM STEEL WHEEL 19789/40281/560551/FVA/KC,FOUNTAIN TIRE LTD             ,$305.00,2013-01-18,173408,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"WELDMENT, SLIDE CASTING FOR QUADRANT - INCL BOLT SLEEVE",GOVERNMENT O,"$3,012.00",2012-12-06,173416,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, OIL",UAP INC                       ,$27.00,2013-01-28,174004,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
THERMOSTAT 195 DEGREES,UAP INC                       ,$11.00,2013-01-28,174010,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
REPAIR AS PER INV. YK14782 11016/T17192/1HD,INLAND KENWORTH               ,$170.00,2012-09-14,172529,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
YTG TIRE TAX 18859/47678/558614/1A/KC,GOODYEAR CANADA INC           ,$25.00,2012-10-02,172554,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
550023682 OIL SAE5W30 3 X 4 02728/99001/5,UAP INC                       ,$228.00,2012-10-15,172563,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
TS31814 LT245/75R17 NOKIAN HAKK LT2 STUD19237/46194/559140/FVA/KC,KAL TIRE                      ,"$1,310.00",2012-10-29,172958,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"3067987 HOUSING, ACC SUPPORT 15560/T11261/6 RG DAWSON",INLAND KENWORTH               ,$519.00,2012-12-10,173417,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"4058949 GASKET, T/C 15560/T11261/6 RG DAWSON",INLAND KENWORTH               ,$31.00,2012-12-10,173417,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
519088 5.70-8 TRAILER TIRES LRD 19795/53508/26/KC,YUKON TIRE CENTRE INC         ,$296.00,2012-12-07,173425,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"TIP, SCARIFIER (CARBIDE FACED)",WINTER EQUIPMENT COMPANY      ,"$4,500.00",2013-01-22,173931,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
WHE-50B03ZCR BLUE TIR6 17669/32900/062762/1A,CDMEGATECH,$242.00,2013-01-22,173934,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
WHE-5BKT1 MOUNTING BRACKETS 17669/32900/062762/1A,CDMEGATECH,$36.00,2013-01-22,173934,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
PHONE 07414/CAMP/6 DAWSON,GLYNNIE CARA O/A              ,$52.00,2013-01-23,173937,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
8265S JB WELD 13612/99000/29 CB EAGLE,NORTHERN SUPERIOR MECHANICAL  ,$10.00,2013-01-23,173942,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PSZ60F COUPLER, TRLR 14790/T56521/12 CH MAYO",NORTHERN SUPERIOR MECHANICAL  ,$26.00,2013-01-23,173942,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
550019972 OIL SEA15W40 . 90713/99001/7,UAP INC                       ,$48.00,2012-10-15,172563,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BATTERY, GROUP 34/78 DUAL DESIGN DOUBLE TERMINAL",UAP INC                       ,$93.00,2012-09-17,172576,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
560212 flap wheel 11225/99000/1T,CDNIS,$60.00,2012-09-17,172580,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
P550867 FILTER 17903/T11270/1HD,UAP INC                       ,$15.00,2012-09-18,172590,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
501062 ABRASIVE 07413/99000/6 JP DAWSON,CDNIS,$200.00,2012-10-26,172962,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
YTG TIRE TAX 19240/46214/559181/1A/KC,GOODYEAR CANADA INC           ,$20.00,2012-10-30,172967,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
5-178X UJOINT *P1* 14817/062130/VGFN004/25 CM OLD CROW,CUSCO FABRICATORS INC         ,$50.00,2012-10-29,172979,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
18102 SEAL FRONT OUTPUT TRANSFER CASE 17493/46117/062541/1A,UAP INC                       ,$55.00,2012-12-10,173442,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
UP10771PB BRAKE SHOE KIT EMERGENCY 16714/T20675/11 TERRY K.,UAP INC                       ,$54.00,2012-12-10,173442,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"LAMP, RUBBER TRACTOR/UTILITY PAR 36 PAR 36, 12 VOLT, RUBBER HOUSING",UAP INC                       ,$32.00,2012-12-10,173463,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"17210-Z6L-010 FILTER, AIR 87409/062537/57383/11 RF KLONDIKE",CDYKHONDA,$76.00,2012-12-11,173474,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
7-HB-0009NC-XC NOZZLE 87416/CAMP/11 RF KLONDIKE,AJAX STEEL LIMITED            ,$200.00,2013-01-23,173949,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,I,2012-13
FLX772-001 HOSE 11326/T15288/1HD,PACESETTER TRADING COMPANY    ,$31.00,2013-01-23,173956,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
E0TZ-1244-A CARRIER BRNG-CONE 14082/T20721/1A,WHITEHORSE MOTORS LIMITED     ,$108.00,2012-09-24,172623,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"GRINDING DISC STEEL HIGH PERFORMANCE DEPRESSED CENTER,T27/F27 GRIT/GRAIN A24R, TYPE 27 GENERAL PURPOSEOPERATING MAX RPM 13,585 ALUMINUM OXIDE",CDNIS,$80.00,2012-10-30,172993,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FUSES (BOX OF 5),UAP INC                       ,$9.00,2012-10-30,173003,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"CONDITIONER, DIESEL FUEL, 6 X 2L BOTT/CS",INLAND KENWORTH               ,$360.00,2012-10-30,173013,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
04944 180/70R8 MICHELIN INDUSTRIAL TUBE 20101/T16903/26/KC,MICHELIN NORTH AMERICA CAN INC,$84.00,2013-01-09,173480,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"AKM30288BLUE BIN, STORAGE 13599/CAMP/29 CB EAGLE",CDACKLANDSWH,$148.00,2012-12-12,173483,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15758171 HANDLE 93525/T20540/2,KLONDIKE MOTORS INC O/A       ,$60.00,2012-12-12,173486,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
1705100 TOOLBOX 18X18X24 ALUMINUM 14701-6/062884-9/1hd,INLAND KENWORTH               ,"$2,120.00",2012-12-12,173492,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"GEAR BOX, COTTA REDUCTION",PALMER JOHNSON POWER SYSTEMS  ,"$9,936.00",2012-12-14,173512,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FLO3BMCO34 COUPLING 02741/99002/5,CDACKLANDSWH,$60.00,2012-12-14,173516,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
126011-1 CIRC PUMP 19408/42135/062600/1A,DYNAMIC SPECIALTY VEHICLES    ,$325.00,2012-12-17,173521,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
K161-793-22 LINING FUEL TANK STRAP 11322/T11251/1HD,INLAND KENWORTH               ,$64.00,2012-12-17,173526,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
20915842 FUEL CAP 19391/T20694/1A,KLONDIKE MOTORS INC O/A       ,$30.00,2013-01-22,173893,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PIGTAIL, 3 CONN FOR LED",UAP INC                       ,$18.00,2013-01-21,173916,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"LOOM, 3/8"" BLACK SPLIT WIRE 50' ROLL",UAP INC                       ,$8.00,2013-01-21,173916,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, FUEL",UAP INC                       ,$66.00,2012-09-25,172639,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"SWITCH, ROCKER OEM STYLE (RED)",UAP INC                       ,$30.00,2012-09-25,172642,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
per 99MA HIGH TACK SPRAY 18012/99000/1T,CDNIS,$99.00,2012-09-27,172655,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
TN0HWX1420 CLEAR SHRINK WRAP 38744/PARTS/SHIPPING,CDACKLANDSWH,$66.00,2012-09-25,172657,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
173300 LT225/75R16 TOYO WLT1 WINTER 14845/43105/559252/06/KC,YUKON TIRE CENTRE INC         ,"$1,617.00",2012-11-05,173030,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
UNIVERSAL TAILPIPE HANGER,PACESETTER TRADING COMPANY    ,$6.00,2012-12-18,173541,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"CONDITIONER, DIESEL FUEL, 6 X 2L BOTT/CS",INLAND KENWORTH               ,$720.00,2012-12-18,173563,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"MIRROR ASSY, HEATED, LIGHTS 7 X 16 FITS MANY KW WWS",UAP INC                       ,$52.00,2012-08-06,172195,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
YTG TIRE TAX 18876/46134/558548/1A/KC,GOODYEAR CANADA INC           ,$25.00,2012-09-28,172660,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"GGH2NEU1 TAG, KEY 15662/CAMP/13 TD OGILVIE",CDACKLANDSWH,$20.00,2012-09-26,172662,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"1133 GUN, PISTOL GRIP 15558/SHOP/6 RG DAWSON",NORTHERN SUPERIOR MECHANICAL  ,$59.00,2012-09-28,172671,,18,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PLOW BOLTS, 5/8""X5"" 01415/5300/19",CDNIS,$180.00,2012-11-05,173065,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
49X8 FTG. 05289/99002/24,UAP INC                       ,$12.00,2012-11-05,173071,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
550023685 SAE 5W30 OIL 1L 12025/062190/1A,UAP INC                       ,$96.00,2012-11-06,173077,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
947001 LH CV AXLE 19709/40187/062663/1A,UAP INC                       ,$100.00,2012-12-18,173569,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
9P0436 LEVER ASSY. 04302/T24113/28,FINNING INTERNATIONAL INC     ,$65.00,2012-12-19,173583,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
600807 BULBS VDO 15771/T60800/6,CDNIS,$160.00,2012-08-08,172225,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
2133200 ALT CORE 09308/T20550/BST CARMACK,UAP INC                       ,$35.00,2012-08-09,172230,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
90-01-4423 ALT 06547/T23192/15,UAP INC                       ,$479.00,2012-08-09,172230,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FREIGHT FOR LINES 1 THRU 11 90436/T21317/1HD,BRANDT TRACTOR LTD            ,$5.00,2012-08-10,172231,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15W40-20 ROTELLA OIL SAE15W40 75108/99001/8,INLAND KENWORTH               ,$560.00,2012-08-09,172233,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"12580196 TENSIONER, A/C BELT 15278/062143/91152/6 TC DAWSON",KLONDIKE MOTORS INC O/A       ,$84.00,2012-09-28,172674,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15734903 BOLT 15709/062083/90052/12 JS MAYO,KLONDIKE MOTORS INC O/A       ,$32.00,2012-09-28,172674,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"89000980 BLADE, W/W 15280/062184/43072/6 TC DAWSON",KLONDIKE MOTORS INC O/A       ,$18.00,2012-09-28,172674,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
freight 17204/T15296/9,DON COX ENTERPRISES LTD O/A   ,$5.00,2012-10-01,172677,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
12004-3402 TRANSMISSION RUBBER MOUNTS 14592/T11258/1HD,DON COX ENTERPRISES LTD O/A   ,$30.00,2012-10-01,172677,,17,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"NHG79866 MOTOR, HTR BLOWER 15718/T20698/13 JS OGILVIE",UAP INC                       ,$93.00,2012-10-01,172681,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
6V5391 SEAL 17911/T21303/1HD,FINNING INTERNATIONAL INC     ,$12.00,2012-11-06,173078,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"COVERALLS, BLUE 100% COTTON 54 REG.",KLUANE KLEANERS LTD           ,$180.00,2012-11-06,173090,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PAN HEATER, 125W SELF ADHESIVE",WHITEHORSE MOTORS LIMITED     ,$215.00,2012-11-06,173092,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"CABLE TIE, 14 1/2"" STANDARD DUTY (100PK)",UAP INC                       ,$132.00,2012-11-06,173094,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PFG1XCN 1"" GALV CLOSE NIPPLE 19311/T31025/1A",CDNIS,$18.00,2013-03-05,173595,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FW878ZD 7/8 WASHERS 93528/99000/2,CDACKLANDSWH,$14.00,2012-12-21,173601,,19,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
PRO-G4908 GUN RACK 17644/46238/062507/1A,CDMEGATECH,$287.00,2012-12-21,173606,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
3755843 TURBO GASKET 18057/T15289/1HD,INLAND KENWORTH               ,$7.00,2012-12-24,173609,,18,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
PFSTN9C36ZD4 1/2 THREADED ROD 05210/T15302/24,CDACKLANDSWH,$16.00,2012-12-24,173611,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
36748 PEDAL ASSY 70759/T23179/10,INLAND KENWORTH               ,"$1,008.00",2012-12-27,173616,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"1-0084 VALVE, UNLOADER 14202/T57361/16",CDYKEXPLOSIV,$65.00,2012-08-10,172242,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"66074 HOOK, SLIP C/W LATCH 07826/60616/56546/6 MV DAWSON",AJAX STEEL LIMITED            ,$6.00,2012-08-13,172260,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,I,2012-13
"REPAIR KIT, POWER BOOSTER",INLAND KENWORTH               ,$166.00,2012-08-13,172262,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
31114 26.5R25 MAXAM MS202 SNOWXTRA 2 07171/T21017/1HD/KC,FOUNTAIN TIRE LTD             ,"$15,200.00",2012-09-06,172266,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"CM10005578 HUB, RR AXLE 14890/062351/15284/6 TK DAWSON",INLAND KENWORTH               ,$540.00,2012-10-01,172706,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"109495BXW KIT, HEATER 14895/T15292/13 TK OGILVIE",INLAND KENWORTH               ,$72.00,2012-10-01,172706,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"065125BXW VALVE, R12 E BRK 15104/T15285/6 JS DAWSON",INLAND KENWORTH               ,$89.00,2012-10-01,172706,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
NGK3403 SPARK PLUGS 17337/47519/062122/1A,UAP INC                       ,$40.00,2012-10-02,172711,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DW1505 WINDSHIELD SUPPLY & INSTALL 17363/46098/062097/1A INV # 2745,JODY SHEA O/A                 ,$320.00,2012-10-02,172713,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
YTG TIRE TAX 14842/46157/559358/12/KC,GOODYEAR CANADA INC           ,$10.00,2012-11-09,173113,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
100A196 185/60R14 CHAMPARO ICE PRO 19756/40285/559364/1A/KC,FOUNTAIN TIRE LTD             ,$186.00,2012-11-09,173122,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
REPAIRS AS PER INV # 765128 17429/91161/062361/1A,KLONDIKE MOTORS INC O/A       ,$51.00,2012-11-08,173125,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15809049 OIL COOLER LINES 17488/46112/062493/1A,KLONDIKE MOTORS INC O/A       ,$126.00,2012-11-08,173125,,27,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
08U608 FTG. 05221/99002/24,UAP INC                       ,$48.00,2012-12-31,173635,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
SEAL,PACESETTER TRADING COMPANY    ,$18.00,2013-01-02,173641,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"TIRE, 1400R24 MICHELIN SNOPLUS NEW",MICHELIN NORTH AMERICA CAN INC,"$9,456.00",2012-09-11,172290,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
MS1000C 5W30 79972/99001/11 KLONDIKE,AFD PETROLEUM LTD             ,$124.00,2012-08-16,172296,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
PLOW HEIGHT SET PIN,GOVERNMENT O,$580.00,2012-10-03,172719,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
JK6-1063-A SERP BELT 17388/46242/062187/1A,WHITEHORSE MOTORS LIMITED     ,$24.00,2012-10-05,172727,,21,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
89018365 AIR TEMP ACTUATOR 17284/46133/062140/1A,KLONDIKE MOTORS INC O/A       ,$207.00,2012-10-05,172732,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
88940123 LH REAR SEAT BELT RETRACTOR 17379/46088/062209/1A,KLONDIKE MOTORS INC O/A       ,$151.00,2012-10-05,172732,,27,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
K066-282 PARK BRAKE PADS 6667/T16241/15,INLAND KENWORTH               ,$94.00,2012-11-13,173146,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FREIGHT 18117/49002/1HD,INLAND KENWORTH               ,$100.00,2012-11-13,173146,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
312023027 LT245/75R17 G/Y SILENT ARMOR 19765/46177/559466/1A/KC,GOODYEAR CANADA INC           ,"$1,052.00",2012-11-15,173155,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
BRAKE FLUID 24 X 500ML,UAP INC                       ,$180.00,2013-01-02,173651,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
M400 BULB 07310/CAMP/13 CW OGILVIE,EECOL ELECTRIC CORP           ,$102.00,2012-10-05,172740,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
RESEAL WINDSHIELD AS PER INV # 2799 17283/46133/062140/1A,JODY SHEA O/A                 ,$70.00,2012-10-10,172744,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
BRAKE PADS,TERRITORIAL AUTO PARTS        ,$74.00,2012-10-09,172758,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PADS, FRONT BRAKE",TERRITORIAL AUTO PARTS        ,$77.00,2012-10-09,172758,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"WW1813 18"" WIPER BLADE 17575/42129/062592/1A",WHITEHORSE MOTORS LIMITED     ,$20.00,2012-11-19,173156,,34,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
BEARING CUP,PACESETTER TRADING COMPANY    ,$36.00,2012-11-14,173162,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"SLACK ADJUSTER, MANUAL, 5""6""7"" X 1.5""-281/2"" HOLE W/BUSHING TO 5/8""",PACESETTER TRADING COMPANY    ,$156.00,2012-11-14,173163,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"LAMP, STT, 12V INCANDESCENT",UAP INC                       ,$8.00,2012-11-14,173175,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"ALARM, LIGHT DUTY BACKUP, 12/24V",UAP INC                       ,$42.00,2012-11-14,173175,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
HEADLIGHT ASSY. 24 VOLT H/L,INLAND KENWORTH               ,$388.00,2012-11-14,173186,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
4205X6X6 FITTING 15865/99002/6 DAWSON,UAP INC                       ,$8.00,2013-01-02,173662,,31,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
550019975 15W40 OIL 20L 4304/99001/28,INLAND KENWORTH               ,$520.00,2013-01-03,173663,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
242137A1 SOLENOID 14392/T21323/1C,INLAND KENWORTH               ,"$2,595.00",2013-01-04,173687,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FLANGE BEARING ASSEMBLY,PACESETTER TRADING COMPANY    ,$66.00,2012-08-23,172345,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"SP-5003323 BEARING, D/S HANGER 14813/T15300/11 RF KLONDIKE",DON COX ENTERPRISES LTD O/A   ,$99.00,2012-08-24,172354,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
24243353 LH AXLE SEAL 14149/43073/061869/1A,KLONDIKE MOTORS INC O/A       ,$11.00,2012-08-24,172357,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15049190 SKID SHIELD 17303/47565/061890/1A,KLONDIKE MOTORS INC O/A       ,$64.00,2012-08-24,172357,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
PGD813C REAR BRAKE PADS 17469/40292/062335/1A,TERRITORIAL AUTO PARTS        ,$52.00,2012-10-10,172777,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
403025 WIPER MOTOR 17456/T20530/1A,UAP INC                       ,$57.00,2012-10-15,172789,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
PAN-3-1202 DECALS 90785/99000/17,AJAX STEEL LIMITED            ,$12.00,2012-11-15,173191,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
